Year,Concentration,Male,Female
2018,Applied Mathematics (A.B.),196,124
2018,Biomedical Engineering (A.B.),14,22
2018,Computer Science (A.B.),329,146
2018,Electrical Engineering (S.B.),32,13
2018,Engineering Sciences (A.B.),2,3
2018,Engineering Sciences (S.B.),9,14
2018,Engineering Sciences - Bioengineering (S.B.),23,22
2018,Engineering Sciences - Biomedical Sciences and Engineering (A.B.),2,5
2018,Engineering Sciences - Electrical and Computer Engineering (A.B.),5,3
2018,Engineering Sciences - Mechanical and Materials Science and Engineering (A.B.),4,6
2018,Environmental Science and Engineering (A.B.),4,7
2018,Mechanical Engineering (S.B.),52,18
2017,Applied Mathematics (A.B.),198,107
2017,Biomedical Engineering (A.B.),20,23
2017,Computer Science (A.B.),324,127
2017,Electrical Engineering (S.B.),32,8
2017,Engineering Sciences (A.B.),1,1
2017,Engineering Sciences (S.B.),5,1
2017,Engineering Sciences - Bioengineering (S.B.),26,27
2017,Engineering Sciences - Electrical and Computer Engineering (A.B.),5,4
2017,Engineering Sciences - Environmental Science and Engineering (A.B.),2,8
2017,Engineering Sciences - Environmental Science and Engineering (S.B.),8,9
2017,Engineering Sciences - Mechanical and Materials Science and Engineering (A.B.),2,3
2017,Mechanical Engineering (S.B.),49,23
2016,Applied Mathematics (A.B.),186,93
2016,Biomedical Engineering (A.B.),18,19
2016,Computer Science (A.B.),296,114
2016,Electrical Engineering (S.B.),34,6
2016,Engineering Sciences (A.B.),23,14
2016,Engineering Sciences (S.B.),39,38
2016,Mechanical Engineering (S.B.),46,17
2015,Applied Mathematics (A.B.),185,99
2015,Biomedical Engineering (A.B.),28,33
2015,Computer Science (A.B.),260,87
2015,Electrical Engineering (S.B.),34,9
2015,Engineering Sciences (A.B.),23,14
2015,Engineering Sciences (S.B.),34,30
2015,Mechanical Engineering (S.B.),38,15
2014,Applied Mathematics (A.B.),176,103
2014,Biomedical Engineering (A.B.),26,26
2014,Computer Science (A.B.),206,89
2014,Electrical Engineering (S.B.),37,10
2014,Engineering Sciences (A.B.),32,12
2014,Engineering Sciences (S.B.),27,31
2014,Mechanical Engineering (S.B.),41,16
2013,Applied Mathematics (A.B.),150,92
2013,Biomedical Engineering (A.B.),32,26
2013,Computer Science (A.B.),197,80
2013,Electrical Engineering (S.B.),28,10
2013,Engineering Sciences (A.B.),25,11
2013,Engineering Sciences (S.B.),44,33
2013,Mechanical Engineering (S.B.),32,15
2012,Applied Mathematics (A.B.),148,78
2012,Biomedical Engineering (A.B.),29,20
2012,Computer Science (A.B.),153,69
2012,Electrical Engineering (S.B.),13,2
2012,Engineering Sciences (A.B.),21,26
2012,Engineering Sciences (S.B.),74,36
2012,Mechanical Engineering (S.B.),15,1
2011,Applied Mathematics (A.B.),134,63
2011,Biomedical Engineering (A.B.),26,19
2011,Computer Science (A.B.),122,47
2011,Engineering Sciences (A.B.),24,25
2011,Engineering Sciences (S.B.),84,34
2010,Applied Mathematics (A.B.),131,86
2010,Computer Science (A.B.),114,18
2010,Engineering Sciences (A.B.),47,41
2010,Engineering Sciences (S.B.),60,37
2009,Applied Mathematics (A.B.),110,58
2009,Computer Science (A.B.),83,12
2009,Engineering Sciences (A.B.),44,33
2009,Engineering Sciences (S.B.),45,25
2008,Applied Mathematics (A.B.),107,53
2008,Computer Science (A.B.),78,19
2008,Engineering Sciences (A.B.),43,21
2008,Engineering Sciences (S.B.),39,19
2007,Applied Mathematics (A.B.),81,41
2007,Computer Science (A.B.),58,14
2007,Engineering Sciences (A.B.),41,15
2007,Engineering Sciences (S.B.),29,20